label_a,label_b,n_aligned_cols,n_identical,pid_aligned,pid_shorter,len_a,len_b
Glyma.20G191200_Lbc2,Glyma.10G199000_Lbc1,144,135,93.75,93.75,145,144
Glyma.20G191200_Lbc2,Glyma.10G199100_Lba,144,134,93.05555555555556,93.05555555555556,145,144
Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3,145,138,95.17241379310344,95.17241379310344,145,145
Glyma.20G191200_Lbc2,Glyma.11G121800,145,63,43.44827586206897,43.44827586206897,145,161
Glyma.20G191200_Lbc2,Glyma.11G121700,145,66,45.51724137931034,45.51724137931034,145,157
Glyma.20G191200_Lbc2,Glyma.10G198900,145,116,80.0,80.0,145,151
Glyma.10G199000_Lbc1,Glyma.10G199100_Lba,144,133,92.36111111111111,92.36111111111111,144,144
Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3,144,132,91.66666666666667,91.66666666666667,144,145
Glyma.10G199000_Lbc1,Glyma.11G121800,144,63,43.75,43.75,144,161
Glyma.10G199000_Lbc1,Glyma.11G121700,144,66,45.833333333333336,45.833333333333336,144,157
Glyma.10G199000_Lbc1,Glyma.10G198900,144,115,79.86111111111111,79.86111111111111,144,151
Glyma.10G199100_Lba,Glyma.10G198800_Lbc3,144,133,92.36111111111111,92.36111111111111,144,145
Glyma.10G199100_Lba,Glyma.11G121800,144,62,43.05555555555556,43.05555555555556,144,161
Glyma.10G199100_Lba,Glyma.11G121700,144,65,45.138888888888886,45.138888888888886,144,157
Glyma.10G199100_Lba,Glyma.10G198900,144,112,77.77777777777777,77.77777777777777,144,151
Glyma.10G198800_Lbc3,Glyma.11G121800,145,62,42.758620689655174,42.758620689655174,145,161
Glyma.10G198800_Lbc3,Glyma.11G121700,145,64,44.13793103448276,44.13793103448276,145,157
Glyma.10G198800_Lbc3,Glyma.10G198900,145,112,77.24137931034483,77.24137931034483,145,151
Glyma.11G121800,Glyma.11G121700,157,131,83.43949044585987,83.43949044585987,161,157
Glyma.11G121800,Glyma.10G198900,150,69,46.0,45.6953642384106,161,151
Glyma.11G121700,Glyma.10G198900,149,71,47.651006711409394,47.019867549668874,157,151
